PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
FR01;PARTY;13;GP0901;OUTGOING;
FR01;PARTY;2;GP0906;OUTGOING;
FR02;PARTY;6;GP0901;OUTGOING;
FR03;PARTY;2;GP0901;OUTGOING;
FR03;PARTY;5;GP0905;OUTGOING;
FR03;PARTY;3;GP0907;OUTGOING;
FR03;PARTY;1;NA;OUTGOING;
FR04;PARTY;17;GP0902;OUTGOING;
FR05;PARTY;1;GP0902;OUTGOING;
FR06;PARTY;1;GP0903;OUTGOING;
FR07;PARTY;3;GP0905;OUTGOING;
FR08;PARTY;3;GP0905;OUTGOING;
FR09;PARTY;2;GP0905;OUTGOING;
FR10;PARTY;2;GP0905;OUTGOING;
FR11;PARTY;9;GP0904;OUTGOING;
FR12;PARTY;2;GP0906;OUTGOING;
FR13;PARTY;6;GP0907;OUTGOING;
FR14;PARTY;5;NA;OUTGOING;
FR15;PARTY;4;NA;OUTGOING;
